Video,Ranking,Gratch,CCR,Subject
HoldHands,2,4,3.583333333,1
HoldHands,1,3,2.833333333,2
HoldHands,2,3.636363636,3.083333333,3
HoldHands,1,3.454545455,2.583333333,4
HoldHands,3,3.909090909,3.916666667,5
HoldHands,3,4,3.625,6
HoldHands,2,3.181818182,3.208333333,7
HoldHands,2,2.454545455,2.708333333,8
HoldHands,3,4.272727273,4.208333333,9
HoldHands,2,3,2.666666667,10
HoldHands,1,3.090909091,3.25,11
HoldHands,2,3.909090909,4.083333333,12
HoldHands,3,3.818181818,3.541666667,13
HoldHands,2,2.454545455,2.083333333,14
HoldHands,2,3.363636364,3.75,15
HoldHands,4,3.090909091,3.375,16
HoldHands,1,2.727272727,1.083333333,17
HoldHands,2,3.545454545,3.625,18
HoldHands,1,3.727272727,3.333333333,19
HoldHands,2,3.636363636,3.666666667,20
HoldHands,2,4,3.958333333,21
HoldHands,2,3.636363636,3.166666667,22
HoldHands,2,4,3.541666667,23
HoldHands,1,2.363636364,2.958333333,24
HoldHands,2,4,3.291666667,25
HoldHands,3,3.454545455,3.166666667,26
HoldHands,2,3.363636364,3.375,27
HoldHands,1,2.909090909,3.291666667,28
HoldHands,2,2.454545455,2.041666667,29
HoldHands,2,4.454545455,3.416666667,30
HoldHands,1,3,2.083333333,31
HoldHands,2,2.636363636,2.125,32
HoldHands,1,2.090909091,1.5,33
HoldHands,3,3.636363636,2.875,34
HoldHands,2,2.818181818,2.875,35
HoldHands,2,4.181818182,3.75,36
HoldHands,2,3.636363636,3.125,37
HoldHands,2,3.909090909,3.958333333,38
HoldHands,2,2.818181818,2.625,39
HoldHands,2,3.727272727,3.25,40
HoldHands,1,2.727272727,2.708333333,41
HoldHands,1,2.818181818,2.791666667,42
HoldHands,2,3.636363636,3.208333333,43
HoldHands,2,2.909090909,2.416666667,44
HoldHands,1,3.818181818,3.541666667,45
HoldHands,2,3,3.25,46
HoldHands,2,2.727272727,2.833333333,47
HoldHands,1,2.909090909,3.375,48
HoldHands,2,3.454545455,2.666666667,49
HoldHands,3,2.818181818,1.875,50
HoldHands,2,3,3.416666667,51
HoldHands,1,3.272727273,2.708333333,52
HoldHands,1,3.545454545,2,53
HoldHands,1,3.090909091,3,54
HoldHands,3,3.545454545,3.458333333,55
HoldHands,3,3.272727273,3.791666667,56
HoldHands,3,2.909090909,4,57
HoldHands,3,2.545454545,2.416666667,58
HoldHands,3,3.181818182,4.125,59
HoldHands,2,3.727272727,3.416666667,60
HoldHands,1,3.090909091,3.458333333,61
HoldHands,2,3.454545455,3.25,62
HoldHands,3,4.727272727,4.083333333,63
HoldHands,2,3.636363636,4.208333333,64
HoldHands,3,4.454545455,4.041666667,65
HoldHands,2,3.181818182,3.125,66
HoldHands,2,4,4.166666667,67
HoldHands,1,3.818181818,3.625,68
HoldHands,2,3.363636364,2.5,69
HoldHands,2,3.818181818,3.541666667,70
HoldHands,1,3.727272727,3.25,71
HoldHands,2,3.818181818,4.458333333,72
HoldHands,3,3.909090909,3.583333333,73
HoldHands,1,4,3.583333333,74
HoldHands,2,2.818181818,2.125,75
HoldHands,2,2.272727273,2.125,76
HoldHands,2,4.545454545,3.708333333,77
HoldHands,1,3.545454545,3.291666667,78
HoldHands,2,2.545454545,2.875,79
HoldHands,1,2.818181818,2.75,80
HoldHands,2,3.272727273,3.125,81
HoldHands,1,2.818181818,1.833333333,82
HoldHands,1,4.818181818,4.75,83
HoldHands,2,3.818181818,2.916666667,84
HoldHands,2,3.363636364,3.666666667,85
HoldHands,2,3.818181818,3.041666667,86
HoldHands,3,3.727272727,3.833333333,87
HoldHands,3,5,5,88
HoldHands,1,4.090909091,2.875,89
HoldHands,2,3.818181818,3.666666667,90
HoldHands,3,3.636363636,2.75,91
HoldHands,1,3.272727273,3.208333333,92
HoldHands,1,3.090909091,2.416666667,93
HoldHands,1,2.727272727,2.916666667,94
HoldHands,2,2.909090909,1.083333333,95
HoldHands,2,2.818181818,2.75,96
HoldHands,4,3.818181818,4.166666667,97
HoldHands,1,3.181818182,2.791666667,98
HoldHands,4,4.909090909,4.708333333,99
HoldHands,2,2.727272727,2.083333333,100
